0.0 0
cwnd 0.0022056: 340
0.0022056 340
cwnd 0.0049856: 680
cwnd 0.0080376: 1020
cwnd 0.0110896: 1360
cwnd 0.0138264: 1700
cwnd 0.0144568: 2040
cwnd 0.0168784: 2380
cwnd 0.0175088: 2720
cwnd 0.0181392: 3060
cwnd 0.0199304: 3400
cwnd 0.0205608: 3740
cwnd 0.0211912: 4080
cwnd 0.0218216: 4420
cwnd 0.0226672: 4760
cwnd 0.0232976: 5100
cwnd 0.023928: 5440
cwnd 0.0245584: 5780
cwnd 0.0251888: 6120
cwnd 0.0258192: 6460
cwnd 0.0264496: 6800
cwnd 0.02708: 7140
cwnd 0.0277104: 7480
cwnd 0.0283408: 7820
cwnd 0.0289712: 8160
cwnd 0.0296016: 8500
cwnd 0.030232: 8840
cwnd 0.0308624: 9180
cwnd 0.0314928: 9520
cwnd 0.0321232: 9860
cwnd 0.0327536: 10200
cwnd 0.033384: 10540
cwnd 0.0340144: 10880
cwnd 0.0346448: 11220
cwnd 0.0352752: 11560
cwnd 0.0359056: 11900
cwnd 0.036536: 12240
cwnd 0.0371664: 12580
cwnd 0.0377968: 12920
cwnd 0.0384272: 13260
cwnd 0.0390576: 13600
cwnd 0.039688: 13940
cwnd 0.0403184: 14280
cwnd 0.0409488: 14620
cwnd 0.0415792: 14960
cwnd 0.0422096: 15300
cwnd 0.04284: 15640
cwnd 0.0434704: 15980
cwnd 0.0441008: 16320
cwnd 0.0447312: 16660
cwnd 0.0453616: 17000
cwnd 0.045992: 17340
cwnd 0.0466224: 17680
cwnd 0.0472528: 18020
cwnd 0.0478832: 18360
cwnd 0.0485136: 18700
cwnd 0.049144: 19040
cwnd 0.0497744: 19380
cwnd 0.0504048: 19720
cwnd 0.0510352: 20060
cwnd 0.0516656: 20400
cwnd 0.052296: 20740
cwnd 0.0529264: 21080
cwnd 0.0535568: 21420
cwnd 0.0541872: 21760
cwnd 0.0548176: 22100
cwnd 0.055448: 22440
cwnd 0.0560784: 22780
cwnd 0.0567088: 23120
cwnd 0.0573392: 23460
cwnd 0.0579696: 23800
cwnd 0.0586: 24140
cwnd 0.0592304: 24480
