0.0 0
0.0022056 4294967295
ssthresh 0.0049856: 4294967295
ssthresh 0.0080376: 4294967295
ssthresh 0.0110896: 4294967295
ssthresh 0.0138264: 4294967295
ssthresh 0.0144568: 4294967295
ssthresh 0.0168784: 4294967295
ssthresh 0.0175088: 4294967295
ssthresh 0.0181392: 4294967295
ssthresh 0.0199304: 4294967295
ssthresh 0.0205608: 4294967295
ssthresh 0.0211912: 4294967295
ssthresh 0.0218216: 4294967295
ssthresh 0.0226672: 4294967295
ssthresh 0.0232976: 4294967295
ssthresh 0.023928: 4294967295
ssthresh 0.0245584: 4294967295
ssthresh 0.0251888: 4294967295
ssthresh 0.0258192: 4294967295
ssthresh 0.0264496: 4294967295
ssthresh 0.02708: 4294967295
ssthresh 0.0277104: 4294967295
ssthresh 0.0283408: 4294967295
ssthresh 0.0289712: 4294967295
ssthresh 0.0296016: 4294967295
ssthresh 0.030232: 4294967295
ssthresh 0.0308624: 4294967295
ssthresh 0.0314928: 4294967295
ssthresh 0.0321232: 4294967295
ssthresh 0.0327536: 4294967295
ssthresh 0.033384: 4294967295
ssthresh 0.0340144: 4294967295
ssthresh 0.0346448: 4294967295
ssthresh 0.0352752: 4294967295
ssthresh 0.0359056: 4294967295
ssthresh 0.036536: 4294967295
ssthresh 0.0371664: 4294967295
ssthresh 0.0377968: 4294967295
ssthresh 0.0384272: 4294967295
ssthresh 0.0390576: 4294967295
ssthresh 0.039688: 4294967295
ssthresh 0.0403184: 4294967295
ssthresh 0.0409488: 4294967295
ssthresh 0.0415792: 4294967295
ssthresh 0.0422096: 4294967295
ssthresh 0.04284: 4294967295
ssthresh 0.0434704: 4294967295
ssthresh 0.0441008: 4294967295
ssthresh 0.0447312: 4294967295
ssthresh 0.0453616: 4294967295
ssthresh 0.045992: 4294967295
ssthresh 0.0466224: 4294967295
ssthresh 0.0472528: 4294967295
ssthresh 0.0478832: 4294967295
ssthresh 0.0485136: 4294967295
ssthresh 0.049144: 4294967295
ssthresh 0.0497744: 4294967295
ssthresh 0.0504048: 4294967295
ssthresh 0.0510352: 4294967295
ssthresh 0.0516656: 4294967295
ssthresh 0.052296: 4294967295
ssthresh 0.0529264: 4294967295
ssthresh 0.0535568: 4294967295
ssthresh 0.0541872: 4294967295
ssthresh 0.0548176: 4294967295
ssthresh 0.055448: 4294967295
ssthresh 0.0560784: 4294967295
ssthresh 0.0567088: 4294967295
ssthresh 0.0573392: 4294967295
ssthresh 0.0579696: 4294967295
ssthresh 0.0586: 4294967295
ssthresh 0.0592304: 4294967295
ssthresh 0.0598608: 4294967295
ssthresh 0.0604912: 4294967295
ssthresh 0.0611216: 4294967295
ssthresh 0.061752: 4294967295
ssthresh 0.0623824: 4294967295
ssthresh 0.0630128: 4294967295
ssthresh 0.0636432: 4294967295
ssthresh 0.0642736: 4294967295
ssthresh 0.064904: 4294967295
